z,stage,nsim
1.6658816154371694,2,73
3.930324314754896,3,73
4.920625622612415,4,73
5.88066574723032,5,73
3.7657373149606803,1,74
3.970948405331185,2,74
5.141926523316536,3,74
5.849419265729207,4,74
5.88066574488064,5,74
2.478637556389582,1,75
4.128007021235815,2,75
4.69002497010344,3,75
5.613942275959771,4,75
5.88066574723032,5,75
0.02499564590244731,1,76
1.5236419685414107,2,76
3.2347839534291283,3,76
5.252977757421852,4,76
5.88066574723032,5,76
2.410288242531698,1,77
2.6098425789549484,2,77
3.73985579859433,3,77
5.173323477115784,4,77
5.88066574723032,5,77
3.1779514603141386,1,78
4.433722102661877,2,78
5.2668808100853886,3,78
5.771295278255337,4,78
5.88066574723032,5,78
2.5634815546943903,1,79
3.8845847388190884,2,79
5.245727778704185,3,79
6.337539364366054,4,79
5.88066574488064,5,79
1.6362550279648482,1,80
1.6082707155831497,2,80
4.0203427570684545,3,80
5.29026233464468,4,80
5.88066574488064,5,80
4.381224422195222,1,81
3.668159786340524,2,81
5.191764003443828,3,81
6.0922933928961,4,81
5.88066574723032,5,81
2.303771000997236,1,82
3.7451398622705616,2,82
4.726510267033932,3,82
5.812652665927135,4,82
5.88066574488064,5,82
3.5539454185522703,1,83
6.629371454905403,2,83
6.762817561398098,3,83
6.653297183736051,4,83
5.88066574488064,5,83
4.0016589375735485,1,84
4.511216434617258,2,84
5.731315346174887,3,84
5.604299275658781,4,84
5.88066574723032,5,84
3.1417386218364816,1,85
4.988963616907344,2,85
5.057189217828123,3,85
4.720592972297516,4,85
5.88066574723032,5,85
1.6573261170470595,1,86
3.0804162564356403,2,86
4.420836870430641,3,86
4.800450468423157,4,86
5.88066574488064,5,86
3.1046351062417163,1,87
4.540754775672505,2,87
4.330255248642102,3,87
4.562863696996009,4,87
5.88066574723032,5,87
5.135748365403741,1,88
4.110914392383207,2,88
4.003503674319883,3,88
5.1327104487359305,4,88
5.88066574488064,5,88
3.952417159761536,1,89
2.5484636671193215,2,89
3.4483629893938534,3,89
5.1005137656595,4,89
5.88066574488064,5,89
2.638224378348676,1,90
1.6027407673105105,2,90
4.262934770718214,3,90
5.250420143776685,4,90
5.88066574488064,5,90
1.083365729187651,1,91
2.9504361720216767,2,91
4.127116977481666,3,91
5.050693741346172,4,91
5.88066574488064,5,91
0.5530883392266884,1,92
2.630867482725366,2,92
4.525981795320866,3,92
4.854670581818168,4,92
5.88066574723032,5,92
5.133674096418006,1,93
4.541399539841567,2,93
5.152851632477065,3,93
5.4933687962179185,4,93
5.88066574488064,5,93
3.4003396790170948,1,94
4.356755891516867,2,94
4.451181592802007,3,94
4.034198257371851,4,94
5.88066574723032,5,94
5.168638006708846,1,95
5.072849730964916,2,95
5.190039085244107,3,95
4.911610970398666,4,95
5.88066574488064,5,95
4.556001927345934,1,96
4.469760241382209,2,96
5.485521022474274,3,96
5.87833224117022,4,96
5.88066574488064,5,96
3.55923783316724,1,97
4.866831585804849,2,97
4.988323377346841,3,97
4.36389149356608,4,97
5.88066574723032,5,97
1.8568291872830196,1,98
3.7651536918646027,2,98
